#DH(SLy4)+HP EOS for the outer crust, NL3omegarho EOS for the inner crust and core                                            
#    nb/nb0        nb(fm^-3)     eng(MeV/fm^3)  Prs(MeV/fm^3)   eng(g/cm^3)  Pres(dyn/cm^2)    muB(MeV)    mue(MeV)    h=ln(mub/mN)
   0.742935E+00   0.109954E+00   0.104466E+03   0.114321E+01   0.186232E+15   0.183165E+34   0.960485E+03   0.103925E+03   0.226234E-01
   0.759460E+00   0.112400E+00   0.106816E+03   0.121177E+01   0.190421E+15   0.194150E+34   0.961102E+03   0.105271E+03   0.232652E-01
   0.776354E+00   0.114900E+00   0.109220E+03   0.128491E+01   0.194706E+15   0.205869E+34   0.961746E+03   0.106604E+03   0.239346E-01
   0.793623E+00   0.117456E+00   0.111679E+03   0.136261E+01   0.199090E+15   0.218317E+34   0.962414E+03   0.107908E+03   0.246297E-01
   0.811276E+00   0.120069E+00   0.114194E+03   0.144598E+01   0.203574E+15   0.231674E+34   0.963116E+03   0.109201E+03   0.253588E-01
   0.829322E+00   0.122740E+00   0.116768E+03   0.153578E+01   0.208161E+15   0.246063E+34   0.963856E+03   0.110489E+03   0.261265E-01
   0.847769E+00   0.125470E+00   0.119400E+03   0.163277E+01   0.212855E+15   0.261602E+34   0.964637E+03   0.111774E+03   0.269369E-01
   0.866627E+00   0.128261E+00   0.122093E+03   0.173771E+01   0.217656E+15   0.278417E+34   0.965465E+03   0.113059E+03   0.277940E-01
   0.885904E+00   0.131114E+00   0.124849E+03   0.185147E+01   0.222569E+15   0.296643E+34   0.966342E+03   0.114345E+03   0.287021E-01
   0.905609E+00   0.134030E+00   0.127669E+03   0.197495E+01   0.227595E+15   0.316426E+34   0.967273E+03   0.115634E+03   0.296654E-01
   0.925754E+00   0.137012E+00   0.130554E+03   0.210914E+01   0.232739E+15   0.337927E+34   0.968263E+03   0.116927E+03   0.306885E-01
   0.946346E+00   0.140059E+00   0.133507E+03   0.225514E+01   0.238002E+15   0.361319E+34   0.969317E+03   0.118226E+03   0.317763E-01
   0.967396E+00   0.143175E+00   0.136528E+03   0.241414E+01   0.243389E+15   0.386794E+34   0.970440E+03   0.119531E+03   0.329338E-01
   0.988915E+00   0.146359E+00   0.139621E+03   0.258746E+01   0.248902E+15   0.414562E+34   0.971637E+03   0.120845E+03   0.341666E-01
   0.101091E+01   0.149615E+00   0.142786E+03   0.277652E+01   0.254545E+15   0.444853E+34   0.972914E+03   0.122167E+03   0.354805E-01
   0.103340E+01   0.152943E+00   0.146026E+03   0.298290E+01   0.260321E+15   0.477921E+34   0.974278E+03   0.123499E+03   0.368817E-01
   0.105639E+01   0.156345E+00   0.149343E+03   0.320836E+01   0.266234E+15   0.514043E+34   0.975736E+03   0.124844E+03   0.383768E-01
   0.107988E+01   0.159823E+00   0.152739E+03   0.345479E+01   0.272288E+15   0.553526E+34   0.977295E+03   0.126200E+03   0.399730E-01
   0.110390E+01   0.163378E+00   0.156216E+03   0.372429E+01   0.278487E+15   0.596706E+34   0.978962E+03   0.127571E+03   0.416779E-01
   0.112846E+01   0.167012E+00   0.159777E+03   0.401918E+01   0.284835E+15   0.643952E+34   0.980747E+03   0.128957E+03   0.434995E-01
   0.115356E+01   0.170727E+00   0.163424E+03   0.434199E+01   0.291336E+15   0.695673E+34   0.982659E+03   0.130360E+03   0.454466E-01
   0.117922E+01   0.174524E+00   0.167160E+03   0.469552E+01   0.297996E+15   0.752317E+34   0.984707E+03   0.131780E+03   0.475283E-01
   0.120545E+01   0.178407E+00   0.170987E+03   0.508285E+01   0.304818E+15   0.814375E+34   0.986901E+03   0.133219E+03   0.497547E-01
   0.123226E+01   0.182375E+00   0.174908E+03   0.550736E+01   0.311808E+15   0.882390E+34   0.989255E+03   0.134677E+03   0.521362E-01
   0.125967E+01   0.186432E+00   0.178926E+03   0.597276E+01   0.318972E+15   0.956956E+34   0.991778E+03   0.136157E+03   0.546839E-01
   0.128769E+01   0.190579E+00   0.183045E+03   0.648313E+01   0.326314E+15   0.103873E+35   0.994485E+03   0.137659E+03   0.574099E-01
   0.131634E+01   0.194818E+00   0.187266E+03   0.704294E+01   0.333840E+15   0.112842E+35   0.997390E+03   0.139183E+03   0.603266E-01
   0.134562E+01   0.199151E+00   0.191595E+03   0.765709E+01   0.341557E+15   0.122682E+35   0.100051E+04   0.140731E+03   0.634473E-01
   0.137555E+01   0.203581E+00   0.196035E+03   0.833092E+01   0.349471E+15   0.133478E+35   0.100385E+04   0.142303E+03   0.667860E-01
   0.140615E+01   0.208110E+00   0.200589E+03   0.907027E+01   0.357590E+15   0.145324E+35   0.100745E+04   0.143899E+03   0.703573E-01
   0.143742E+01   0.212739E+00   0.205261E+03   0.988148E+01   0.365919E+15   0.158321E+35   0.101130E+04   0.145520E+03   0.741763E-01
   0.146940E+01   0.217471E+00   0.210057E+03   0.107714E+02   0.374468E+15   0.172580E+35   0.101544E+04   0.147166E+03   0.782586E-01
   0.150208E+01   0.222308E+00   0.214979E+03   0.117475E+02   0.383243E+15   0.188219E+35   0.101988E+04   0.148835E+03   0.826203E-01
   0.153550E+01   0.227253E+00   0.220034E+03   0.128178E+02   0.392255E+15   0.205367E+35   0.102464E+04   0.150528E+03   0.872776E-01
   0.156965E+01   0.232308E+00   0.225226E+03   0.139907E+02   0.401511E+15   0.224160E+35   0.102974E+04   0.152243E+03   0.922467E-01
   0.160457E+01   0.237476E+00   0.230559E+03   0.152704E+02   0.411018E+15   0.244663E+35   0.103518E+04   0.153984E+03   0.975129E-01
   0.160617E+01   0.237713E+00   0.230805E+03   0.153316E+02   0.411456E+15   0.245643E+35   0.103544E+04   0.154063E+03   0.977617E-01
   0.160778E+01   0.237951E+00   0.231051E+03   0.153931E+02   0.411895E+15   0.246628E+35   0.103569E+04   0.154143E+03   0.980112E-01
   0.160939E+01   0.238189E+00   0.231298E+03   0.154548E+02   0.412335E+15   0.247617E+35   0.103595E+04   0.154222E+03   0.982614E-01
   0.161100E+01   0.238427E+00   0.231545E+03   0.155167E+02   0.412775E+15   0.248609E+35   0.103621E+04   0.154302E+03   0.985123E-01
   0.161261E+01   0.238666E+00   0.231792E+03   0.155789E+02   0.413216E+15   0.249606E+35   0.103647E+04   0.154381E+03   0.987640E-01
